"date","Celebrities & Entertainment News","Entertainment Industry","Live Sporting Events","Ticket Sales","Web Portals","CAD & CAM","Automotive Industry","Bicycles & Accessories","Boats & Watercraft","Campers & RVs","Classic Vehicles","Commercial Vehicles","Custom & Performance Vehicles","Hybrid & Alternative Vehicles","Microcars & City Cars","Motorcycles","Off-Road Vehicles","Personal Aircraft","Scooters & Mopeds","Trucks & SUVs","Vehicle Brands","Vehicle Codes & Driving Laws","Vehicle Licensing & Registration","Vehicle Maintenance","Vehicle Parts & Accessories","Vehicle Shopping","Vehicle Shows","Beauty Pageants","Body Art","Cosmetic Procedures","Cosmetology & Beauty Professionals","Face & Body Care","Fashion & Style","Fitness","Hair Care","Spas & Beauty Services","Weight Loss","Advertising & Marketing","Aerospace & Defense","Agriculture & Forestry","Business Education","Business Finance","Business News","Business Operations","Business Services","Photo & Video Services","Chemicals Industry","Construction & Maintenance","HVAC & Climate Control","Energy & Utilities","Enterprise Technology","Hospitality Industry","Grocery & Food Retailers","Industrial Materials & Equipment","Manufacturing","Metals & Mining","Pharmaceuticals & Biotech","Printing & Publishing","Journalism & News Industry","Professional & Trade Associations","Retail Trade","Small Business","Textiles & Nonwovens","Transportation & Logistics","Computer Hardware","Computer Security","Consumer Electronics","Electronics & Electrical","Networking","Programming","Software","Web Apps & Online Tools","Technical Support","Technology News","Accounting & Auditing","Banking","Credit & Lending","Currencies & Foreign Exchange","Financial Planning","Grants & Financial Assistance","Insurance","Investing","Retirement & Pension","Alcoholic Beverages","Candy & Sweets","Cooking & Recipes","Culinary Training","Non-Alcoholic Beverages","Restaurants","Aging & Geriatrics","Alternative & Natural Medicine","Health Conditions","Health Education & Medical Training","Health Foundations & Medical Research","Health News","Medical Devices & Equipment","Medical Facilities & Services","Medical Literature & Resources","Men's Health","Mental Health","Nursing","Nutrition","Oral & Dental Care","Pediatrics","Pharmacy","Public Health","Reproductive Health","Substance Abuse","Vision Care","Women's Health","Antiques & Collectibles","Gifts & Special Event Items","Water Sports","Bed & Bath","Domestic Services","Gardening & Landscaping","Home Appliances","Home Furnishings","Home Improvement","Home Storage & Shelving","Homemaking & Interior Decor","Kitchen & Dining","Laundry","Nursery & Playroom","Pest Control","Swimming Pools & Spas","Yard & Patio","Communications Equipment","Email & Messaging","Mobile & Wireless","Search Engines","Service Providers","Teleconferencing","Web Services","Education","Jobs","Government","Legal","Military","Public Safety","Social Services","Broadcast & Network News","Gossip & Tabloid News","Local News","Newspapers","Politics","Sports News","Weather","World News","Apartments & Residential Rentals","Commercial & Investment Real Estate","Property Development","Property Inspections & Appraisals","Property Management","Real Estate Agencies","Real Estate Listings","Timeshares & Vacation Properties","Apparel","Auctions","Classifieds","Consumer Resources","Entertainment Media","Luxury Goods","Mass Merchants & Department Stores","Shopping Portals & Search Engines","Sporting Goods","Swap Meets & Outdoor Markets","Tobacco Products","Toys","Wholesalers & Liquidators","College Sports","Combat Sports","Extreme Sports","Fantasy Sports","Individual Sports","Motor Sports","Sports Coaching & Training","Team Sports","Winter Sports","World Sports Competitions","Air Travel","Bus & Rail","Car Rental & Taxi Services","Carpooling & Ridesharing","Cruises & Charters","Hotels & Accommodations","Luggage & Travel Accessories","Specialty Travel","Tourist Destinations","Travel Agencies & Services","Travel Guides & Travelogues"
2004-01-01,88,96,37,75,58,94,75,55,64,73,91,89,89,57,95,77,94,100,61,91,88,89,83,70,91,90,96,29,77,85,96,62,95,100,59,88,100,99,100,80,100,89,34,94,99,98,93,89,74,89,99,67,33,95,100,98,99,96,81,100,97,100,96,97,100,77,85,94,94,91,100,58,0,26,76,68,96,100,96,90,94,87,100,85,66,67,100,65,59,92,94,48,100,82,72,70,97,88,100,87,92,100,69,90,100,91,88,87,100,84,100,73,23,95,76,42,93,100,93,90,99,88,76,100,50,36,33,97,79,83,84,99,96,98,100,100,86,98,92,92,54,61,55,90,100,13,61,43,64,82,90,93,83,84,92,91,96,79,82,75,91,84,42,43,100,71,72,90,49,73,56,52,49,16,52,81,95,59,88,4,89,87,69,75,98,92,75,93,85,100,80
2004-02-01,76,98,31,80,58,100,83,57,63,69,96,90,87,59,93,77,92,99,59,88,91,93,77,68,93,89,78,27,77,88,100,59,100,89,62,94,83,100,70,82,98,98,33,100,100,88,96,90,65,92,98,67,32,99,94,100,100,99,95,99,100,94,99,94,97,79,76,100,100,100,96,63,0,27,90,69,86,94,91,98,100,80,94,81,79,59,91,70,62,91,87,49,88,83,72,65,93,99,93,93,99,93,71,91,96,95,94,91,97,89,90,94,26,90,69,47,81,89,89,76,79,76,72,83,50,36,43,97,79,83,81,92,100,100,99,96,89,100,93,96,54,75,55,59,96,14,64,38,69,81,88,100,87,90,91,86,91,82,82,72,87,75,39,39,76,68,65,93,45,62,54,58,43,23,53,100,83,57,69,4,84,84,73,75,90,94,73,94,86,94,79
2004-03-01,69,74,34,92,55,87,73,73,70,81,93,100,100,63,100,92,84,95,76,95,90,92,80,77,95,92,63,27,74,93,88,58,91,86,62,88,82,95,65,90,92,88,32,92,92,88,90,87,63,92,94,65,31,95,95,96,87,92,82,100,89,86,97,98,88,74,80,95,86,86,88,62,0,26,75,64,93,90,93,85,90,76,88,79,60,57,86,63,56,87,89,48,83,86,67,63,96,89,94,91,89,89,62,87,89,95,88,92,90,89,86,75,25,80,78,67,82,85,92,76,73,73,72,82,65,46,63,99,71,79,80,85,92,94,94,90,91,92,94,97,51,55,53,55,96,12,68,33,79,84,79,86,88,85,100,91,88,79,78,76,86,72,36,42,66,76,69,94,42,64,71,59,51,30,58,90,86,62,46,4,89,82,75,77,79,94,71,88,86,84,78
2004-04-01,74,66,36,100,63,94,75,80,81,80,100,89,90,74,99,95,77,95,87,93,93,100,87,75,100,90,56,36,77,97,96,62,89,78,69,96,88,100,62,100,97,100,33,100,94,85,100,100,72,100,98,66,31,96,98,98,96,100,97,99,86,88,100,95,88,79,74,100,84,96,91,61,0,27,80,68,92,97,100,87,90,78,93,78,62,56,95,66,58,100,91,50,87,100,83,68,100,92,98,100,98,88,71,100,96,100,100,100,97,88,86,82,27,86,83,90,84,85,91,75,71,72,75,85,80,54,76,97,76,81,81,89,90,97,97,93,100,98,100,100,54,58,52,48,99,11,63,35,84,91,85,90,97,88,99,95,84,81,79,78,86,74,38,42,65,85,84,100,42,69,46,57,44,22,68,98,92,61,24,4,85,92,81,87,84,91,72,90,87,85,100
2004-05-01,79,60,29,79,55,79,70,82,82,84,92,90,82,74,92,91,70,90,99,88,87,88,85,76,93,91,52,29,70,89,99,58,86,77,63,88,89,84,56,87,80,88,27,88,85,77,86,86,88,90,88,64,30,88,79,81,80,87,73,81,77,81,83,87,77,100,72,88,81,83,89,60,0,30,34,64,84,90,70,71,85,63,68,75,57,53,93,61,56,84,89,46,83,81,64,65,90,85,88,86,88,80,63,94,86,83,90,86,88,87,81,87,28,81,91,85,77,81,91,62,69,71,66,78,87,63,81,90,70,78,77,84,85,88,84,88,83,88,94,84,46,61,46,49,88,11,52,35,76,82,78,85,86,80,89,88,83,76,76,66,82,69,35,42,66,85,78,90,40,72,37,54,46,15,65,97,78,51,19,5,87,85,84,82,87,92,71,91,92,83,74
2004-06-01,78,58,32,96,56,84,65,85,96,94,82,91,79,61,79,100,74,88,98,88,86,86,92,79,96,92,47,47,71,89,88,60,83,76,58,93,85,91,59,80,86,91,27,88,88,85,89,92,89,88,93,67,32,96,81,80,90,89,71,87,86,84,85,96,85,91,76,91,87,87,84,67,0,24,36,71,93,92,87,78,95,63,75,77,54,52,89,63,58,88,83,42,87,72,51,76,92,84,93,74,92,77,72,94,90,80,83,74,95,88,85,76,32,91,84,72,82,83,90,76,73,70,76,81,97,79,75,89,78,84,77,92,87,92,80,93,82,87,93,92,47,62,49,52,89,10,55,34,69,86,83,82,91,94,87,91,88,71,78,73,88,73,35,44,61,87,75,89,41,76,32,51,40,21,75,96,77,52,18,5,99,93,91,100,89,97,74,96,94,84,80
2004-07-01,84,68,31,99,59,82,62,100,100,95,82,96,69,53,81,94,67,98,100,90,89,90,95,79,96,93,48,30,74,91,96,60,83,80,60,91,83,85,51,78,85,91,27,89,87,88,83,90,86,84,95,67,30,95,81,74,85,86,70,83,81,81,84,100,87,92,73,86,88,83,89,65,0,24,36,76,94,88,84,79,96,66,78,79,52,57,86,65,61,84,87,44,94,83,48,69,93,82,90,76,99,75,68,92,90,77,86,76,94,93,90,68,35,100,74,60,88,87,96,81,88,77,71,95,83,61,67,91,77,82,75,92,91,94,77,90,77,88,90,95,47,65,57,54,91,16,59,34,58,95,87,81,90,100,95,99,100,76,86,76,92,76,37,47,64,100,86,82,45,80,32,51,41,28,100,94,77,50,20,7,100,100,100,92,100,100,86,100,100,89,79
2004-08-01,65,65,42,88,57,89,63,88,92,97,83,95,72,56,78,94,77,91,92,96,90,92,92,72,97,89,51,30,71,94,87,60,85,75,64,89,77,86,50,78,94,89,26,86,94,76,84,88,74,86,100,67,31,99,83,76,87,90,69,90,81,86,83,99,91,90,76,91,94,87,92,69,0,24,36,74,94,90,88,82,99,63,72,79,53,56,96,59,58,81,88,44,92,83,51,70,96,84,95,77,100,71,72,90,94,86,80,76,95,94,90,69,62,94,85,54,85,92,92,80,81,76,84,91,78,46,58,95,79,89,79,100,92,94,89,86,71,91,91,98,48,70,53,56,97,17,59,44,55,88,83,83,97,91,86,100,90,80,86,77,92,79,38,50,84,93,88,85,42,79,40,51,43,71,82,87,89,54,26,95,97,95,86,88,88,95,100,100,89,85,73
2004-09-01,62,60,40,82,61,82,64,79,66,72,79,87,69,54,81,87,76,84,79,95,81,88,84,67,89,84,50,42,65,86,86,54,85,71,54,79,75,88,53,80,96,87,27,88,93,81,92,84,66,86,92,65,31,100,77,92,82,89,78,97,77,84,81,93,83,86,72,88,85,88,86,76,86,24,34,69,82,83,77,65,94,61,75,78,57,54,91,61,54,86,88,43,87,81,71,70,94,91,90,84,99,72,66,86,87,85,81,77,92,95,81,67,31,87,75,49,79,85,87,67,78,74,74,82,68,36,50,92,79,86,76,91,81,88,99,83,80,93,89,94,49,84,47,59,100,21,63,61,78,67,76,76,93,84,88,82,66,80,79,75,86,76,35,47,70,79,74,82,42,70,57,50,36,60,65,79,94,60,30,7,83,84,70,80,74,84,69,88,76,70,67
2004-10-01,67,56,38,92,54,80,62,61,52,62,82,81,69,55,76,66,76,88,64,80,77,86,75,64,88,78,49,30,59,83,84,55,84,71,56,75,65,89,62,85,84,86,28,86,88,83,89,83,69,84,87,62,30,86,84,92,82,90,89,93,74,80,89,87,79,75,72,84,81,81,84,79,0,23,35,66,75,81,80,59,87,68,73,76,62,57,83,61,55,92,92,47,88,98,68,69,93,92,88,91,96,70,66,83,89,88,83,85,89,99,83,71,26,82,76,45,76,80,86,69,70,72,75,82,58,33,41,85,76,80,78,84,79,80,90,79,91,93,87,94,50,86,52,46,95,38,60,31,69,66,75,78,83,75,71,74,66,91,79,67,84,71,35,46,58,72,64,89,44,70,56,49,33,36,51,78,91,64,42,3,74,81,65,74,64,79,64,83,70,69,65
