"date","Celebrities & Entertainment News","Entertainment Industry","Live Sporting Events","Ticket Sales","Web Portals","CAD & CAM","Automotive Industry","Bicycles & Accessories","Boats & Watercraft","Campers & RVs","Classic Vehicles","Commercial Vehicles","Custom & Performance Vehicles","Hybrid & Alternative Vehicles","Microcars & City Cars","Motorcycles","Off-Road Vehicles","Personal Aircraft","Scooters & Mopeds","Trucks & SUVs","Vehicle Brands","Vehicle Codes & Driving Laws","Vehicle Licensing & Registration","Vehicle Maintenance","Vehicle Parts & Accessories","Vehicle Shopping","Vehicle Shows","Beauty Pageants","Body Art","Cosmetic Procedures","Cosmetology & Beauty Professionals","Face & Body Care","Fashion & Style","Fitness","Hair Care","Spas & Beauty Services","Weight Loss","Advertising & Marketing","Aerospace & Defense","Agriculture & Forestry","Business Education","Business Finance","Business News","Business Operations","Business Services","Photo & Video Services","Chemicals Industry","Construction & Maintenance","HVAC & Climate Control","Energy & Utilities","Enterprise Technology","Hospitality Industry","Grocery & Food Retailers","Industrial Materials & Equipment","Manufacturing","Metals & Mining","Pharmaceuticals & Biotech","Printing & Publishing","Journalism & News Industry","Professional & Trade Associations","Retail Trade","Small Business","Textiles & Nonwovens","Transportation & Logistics","Computer Hardware","Computer Security","Consumer Electronics","Electronics & Electrical","Networking","Programming","Software","Web Apps & Online Tools","Technical Support","Technology News","Accounting & Auditing","Banking","Credit & Lending","Currencies & Foreign Exchange","Financial Planning","Grants & Financial Assistance","Insurance","Investing","Retirement & Pension","Alcoholic Beverages","Candy & Sweets","Cooking & Recipes","Culinary Training","Non-Alcoholic Beverages","Restaurants","Aging & Geriatrics","Alternative & Natural Medicine","Health Conditions","Health Education & Medical Training","Health Foundations & Medical Research","Health News","Medical Devices & Equipment","Medical Facilities & Services","Medical Literature & Resources","Men's Health","Mental Health","Nursing","Nutrition","Oral & Dental Care","Pediatrics","Pharmacy","Public Health","Reproductive Health","Substance Abuse","Vision Care","Women's Health","Antiques & Collectibles","Gifts & Special Event Items","Water Sports","Bed & Bath","Domestic Services","Gardening & Landscaping","Home Appliances","Home Furnishings","Home Improvement","Home Storage & Shelving","Homemaking & Interior Decor","Kitchen & Dining","Laundry","Nursery & Playroom","Pest Control","Swimming Pools & Spas","Yard & Patio","Communications Equipment","Email & Messaging","Mobile & Wireless","Search Engines","Service Providers","Teleconferencing","Web Services","Education","Jobs","Government","Legal","Military","Public Safety","Social Services","Broadcast & Network News","Gossip & Tabloid News","Local News","Newspapers","Politics","Sports News","Weather","World News","Apartments & Residential Rentals","Commercial & Investment Real Estate","Property Development","Property Inspections & Appraisals","Property Management","Real Estate Agencies","Real Estate Listings","Timeshares & Vacation Properties","Apparel","Auctions","Classifieds","Consumer Resources","Entertainment Media","Luxury Goods","Mass Merchants & Department Stores","Shopping Portals & Search Engines","Sporting Goods","Swap Meets & Outdoor Markets","Tobacco Products","Toys","Wholesalers & Liquidators","College Sports","Combat Sports","Extreme Sports","Fantasy Sports","Individual Sports","Motor Sports","Sports Coaching & Training","Team Sports","Winter Sports","World Sports Competitions","Air Travel","Bus & Rail","Car Rental & Taxi Services","Carpooling & Ridesharing","Cruises & Charters","Hotels & Accommodations","Luggage & Travel Accessories","Specialty Travel","Tourist Destinations","Travel Agencies & Services","Travel Guides & Travelogues"
2004-01-01,79,100,50,73,31,100,90,54,80,81,97,96,91,52,94,73,100,100,75,100,100,99,91,84,89,100,34,100,100,84,100,90,97,100,67,100,99,100,100,100,100,100,73,100,100,85,93,98,88,87,82,88,76,100,100,100,92,100,95,100,100,100,100,97,100,90,100,100,100,100,100,84,0,41,100,85,99,100,100,92,100,87,74,54,79,58,67,97,68,100,100,53,100,99,100,100,100,100,100,100,100,100,73,91,100,100,100,100,100,100,100,76,61,96,100,41,91,91,100,59,73,100,91,69,61,81,37,100,68,100,82,89,100,99,100,100,100,100,100,100,100,50,80,96,89,18,35,33,35,88,100,100,99,100,75,93,90,99,95,30,100,100,92,89,75,60,30,100,63,100,100,96,78,39,61,66,100,38,100,7,88,72,77,71,82,86,74,100,88,77,76
2004-02-01,72,95,46,70,28,95,84,51,67,78,79,92,85,46,95,80,75,93,81,88,99,96,83,87,82,94,31,78,94,78,90,94,91,82,67,87,73,89,66,98,91,90,67,88,92,70,90,95,83,83,96,80,66,95,100,94,84,94,86,100,94,91,88,85,85,80,82,92,91,96,96,78,0,46,82,74,89,86,78,88,82,78,72,45,77,52,60,89,60,86,92,51,82,100,82,97,95,86,82,96,93,94,66,89,72,97,88,87,90,96,85,86,57,83,99,48,77,77,94,65,59,86,100,35,56,73,39,90,68,86,75,79,80,92,91,93,94,92,87,94,85,49,80,86,87,16,38,25,33,76,92,97,100,92,97,84,73,96,84,30,89,96,78,70,71,61,29,85,55,93,93,90,72,37,56,64,97,40,63,6,79,66,79,79,63,80,73,85,76,64,66
2004-03-01,71,100,51,71,27,93,89,87,70,72,78,85,88,48,92,97,87,90,90,92,99,99,93,88,95,98,31,70,87,100,96,87,86,82,65,81,84,92,53,87,93,87,62,80,92,65,89,100,78,80,100,85,72,97,95,100,78,93,83,89,93,82,80,90,82,74,85,89,90,96,85,76,0,33,83,72,89,81,81,85,76,76,70,49,71,51,53,90,63,81,86,47,84,84,67,91,94,86,84,88,83,95,65,88,62,90,90,85,90,88,84,63,59,78,93,67,79,73,94,45,61,76,67,22,46,69,56,85,66,90,67,75,72,91,88,86,91,92,94,87,74,46,63,83,81,18,36,23,29,76,97,93,95,97,82,88,68,94,90,28,87,88,76,73,85,76,34,86,57,90,99,94,69,41,66,91,88,39,40,6,84,65,82,83,62,79,75,85,79,61,71
2004-04-01,57,83,46,64,27,88,100,81,76,80,92,88,80,47,96,100,92,94,100,94,95,100,94,100,97,90,22,71,93,89,83,79,82,87,61,79,77,83,47,93,81,88,60,75,79,70,83,94,67,74,80,86,70,99,83,94,80,89,75,91,90,82,70,92,76,71,79,84,85,88,89,72,0,31,65,72,84,77,78,78,72,84,63,44,73,51,52,85,62,82,90,48,79,81,68,88,85,74,73,86,85,93,60,72,61,88,80,73,91,81,74,75,69,75,97,80,74,66,95,55,59,78,84,42,57,65,68,80,61,85,64,75,70,87,80,81,92,83,89,86,64,49,61,82,84,15,36,27,27,64,91,92,79,93,80,80,69,92,85,28,83,81,74,69,97,81,34,73,48,88,87,97,72,38,72,97,89,39,25,7,79,67,93,100,65,77,71,77,75,55,70
2004-05-01,67,82,46,63,22,76,75,78,81,73,97,86,82,52,74,93,89,88,96,80,88,85,83,83,87,85,18,82,88,84,76,77,82,76,62,71,69,79,43,92,80,76,53,72,69,66,84,85,65,78,71,77,61,87,82,89,67,84,76,81,81,80,81,85,77,100,73,78,80,89,82,68,100,34,59,63,71,66,72,68,63,60,52,45,63,46,47,80,60,82,79,43,62,79,70,91,80,74,68,96,78,82,55,83,48,78,78,73,84,74,68,75,72,71,94,70,68,58,84,57,48,75,88,45,81,63,63,77,58,81,60,68,61,87,77,67,89,78,77,82,61,43,60,72,84,17,35,29,33,62,80,80,65,84,75,74,73,86,76,27,77,68,56,66,85,86,36,75,46,83,89,79,69,38,77,100,89,43,21,8,84,63,87,97,62,81,74,78,81,60,77
2004-06-01,65,77,48,66,32,88,85,78,88,89,88,94,89,61,90,93,95,97,94,94,92,93,88,86,87,86,17,83,90,82,81,86,80,74,61,72,75,85,51,90,80,90,57,75,79,73,92,88,78,83,75,84,64,97,88,95,70,89,86,86,85,77,79,90,72,76,79,84,85,92,78,75,0,32,57,70,93,76,78,93,68,66,64,49,70,47,51,92,66,80,81,47,80,84,71,96,91,71,76,85,84,93,65,88,55,87,87,79,92,80,73,67,88,76,99,64,70,63,91,56,54,80,83,59,89,65,56,80,62,93,62,67,71,93,83,81,87,83,82,88,70,40,65,82,95,26,49,36,29,76,83,88,77,91,75,84,87,89,80,27,84,78,72,68,87,94,36,71,47,81,92,76,72,43,84,100,90,54,24,11,92,70,96,90,73,88,73,81,83,78,78
2004-07-01,59,79,37,64,40,83,82,86,86,96,100,95,100,48,87,85,95,87,98,89,93,93,89,87,88,87,18,65,95,79,86,84,79,79,65,75,74,76,48,89,85,87,54,78,80,80,91,94,73,77,81,82,58,94,89,87,67,96,78,85,93,80,76,100,80,75,81,86,80,96,78,74,0,37,52,72,100,77,79,95,67,64,67,46,69,49,54,84,68,84,80,47,79,78,72,93,90,72,78,83,85,82,63,86,57,91,86,74,96,86,70,66,83,86,91,59,77,63,90,63,57,79,99,100,85,68,54,83,63,94,61,73,64,90,76,81,83,89,89,88,89,40,66,86,90,14,58,42,31,82,94,90,81,85,88,83,100,87,81,28,85,76,65,69,89,99,34,80,50,81,93,81,80,41,99,91,91,39,24,11,100,76,100,98,100,96,96,88,97,100,100
2004-08-01,56,71,41,59,31,80,80,90,100,100,84,86,81,49,100,81,92,91,90,83,88,90,77,87,84,88,18,64,94,84,71,82,75,74,56,77,70,77,44,83,72,79,54,67,79,75,89,93,79,78,67,78,62,97,79,86,62,83,74,76,88,81,77,93,77,67,79,74,79,81,78,70,0,28,53,68,93,82,80,94,68,63,66,49,66,48,58,78,61,68,75,44,71,75,59,88,81,68,76,76,80,77,58,85,46,80,77,63,88,71,69,60,100,88,87,55,77,71,92,56,53,77,89,48,84,69,53,75,64,84,57,72,66,83,67,77,73,85,77,79,86,40,64,85,83,14,39,36,27,79,90,87,81,79,77,88,93,84,78,27,81,73,70,70,74,98,35,65,49,80,88,79,78,41,78,73,78,41,25,85,95,74,98,96,75,100,92,82,94,86,80
2004-09-01,53,81,40,60,29,84,81,69,79,78,76,87,88,48,80,71,77,87,84,88,90,82,80,89,89,82,36,70,82,80,88,77,71,73,61,73,64,64,47,87,81,81,57,76,79,72,84,92,78,83,71,86,63,92,86,88,67,89,78,85,84,82,76,94,81,69,77,80,84,88,81,80,0,31,54,68,92,66,85,100,72,62,66,49,72,49,60,84,66,79,79,44,78,82,67,90,87,77,70,78,86,77,61,97,50,93,76,59,83,78,75,60,68,81,81,49,72,67,94,56,58,72,70,53,62,62,41,75,64,88,59,77,66,88,80,80,78,84,77,86,83,47,65,86,96,24,41,26,35,79,90,89,79,84,77,88,66,87,72,25,86,76,65,79,74,74,34,65,50,79,85,80,67,41,71,72,90,39,27,9,87,75,83,91,56,87,87,76,77,73,68
2004-10-01,61,75,46,71,23,89,86,53,60,61,74,76,79,52,67,61,71,81,77,85,85,79,96,89,95,83,21,66,72,82,81,78,72,71,63,79,55,73,45,82,79,77,58,79,81,71,76,87,83,79,70,90,77,87,81,87,63,83,75,81,80,79,78,86,79,75,78,75,80,88,79,86,0,29,52,68,89,72,78,81,72,65,78,46,70,56,55,76,63,73,72,43,71,72,71,87,81,74,71,82,83,73,63,86,48,84,79,58,84,75,69,58,53,78,82,43,77,77,86,64,65,83,67,54,49,62,36,75,68,85,60,75,67,86,77,78,80,81,72,84,72,40,65,80,81,19,35,21,31,69,89,88,70,82,76,76,53,85,75,24,82,85,74,72,74,59,41,64,57,74,100,81,62,49,55,59,67,38,34,6,74,73,73,89,48,73,75,69,72,61,57
